VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;CO_DISTRITO
CALLE;DE;AGUIRRE;AGUIRRE;4
CALLE;DE LA;AGUJA;AGUJA;20
CALLE;DE;AGUSTIN CALVO;AGUSTÍN CALVO;16
CALLE;DE;AGUSTIN DE BETANCOURT;AGUSTÍN DE BETANCOURT;7
CALLE;DE;AGUSTIN DE FOXA;AGUSTÍN DE FOXÁ;5
CALLE;DE;AGUSTIN DE ITURBIDE;AGUSTÍN DE ITURBIDE;16
CALLE;DE;AGUSTIN DE ROJAS;AGUSTÍN DE ROJAS;5
CALLE;DE;AGUSTIN DURAN;AGUSTÍN DURÁN;4
CALLE;DE;AGUSTIN GARCIA MALLA;AGUSTÍN GARCÍA MALLA;18
PLAZA;DE;AGUSTIN GONZALEZ;AGUSTÍN GONZÁLEZ;15
CALLE;DE;AGUSTIN LARA;AGUSTÍN LARA;9
CALLE;DE;AGUSTIN QUEROL;AGUSTÍN QUEROL;3
CALLE;DE;AGUSTIN RODRIGUEZ BONAT;AGUSTÍN RODRÍGUEZ BONAT;11
CALLE;DE;AGUSTIN VIÑAMATA;AGUSTÍN VIÑAMATA;3
CALLE;DE;AGUSTINA DE ARAGON;AGUSTINA DE ARAGÓN;4
CALLE;DE;AGUSTINA FIERRA;AGUSTINA FIERRA;11
CALLE;DE LOS;AHIJONES;AHIJONES;13
PASAJE;DE;AHILLONES;AHILLONES;16
AVENIDA;DE LOS;AHONES;AHONES;16
PLAZA;DEL;AHORRO;AHORRO;17
CALLE;DE LOS;AHUMAOS;AHUMAOS;19
CALLE;DEL;AILANTO;AILANTO;6
CALLE;DE;AINSA;AÍNSA;20
CALLE;DEL;AIRE;AIRE;21
CALLE;DE;AIZGORRI;AIZGORRI;4
CALLE;DE;AJALVIR;AJALVIR;9
CALLE;DEL;AJENJO;AJENJO;9
CALLE;DE;AJOFRIN;AJOFRÍN;20
CALLE;DE;AJOFRIN;AJOFRÍN;20
PASEO;DE LOS;ALABARDEROS;ALABARDEROS;10
CALLE;DEL;ALABASTRO;ALABASTRO;2
CALLE;DE LA;ALADIERNA;ALADIERNA;17
CALLE;DE;ALAGON;ALAGÓN;21
CALLE;DE;ALAJATE;ALAJATE;12
CALLE;DEL;ALAMBIQUE;ALAMBIQUE;20
CALLE;DE LA;ALAMEDA;ALAMEDA;1
CALLE;DE LA;ALAMEDA DE LA FUENTE;ALAMEDA DE LA FUENTE;19
CALLE;DE LA;ALAMEDA DE LA FUENTE;ALAMEDA DE LA FUENTE;21
PASEO;DE LA;ALAMEDA DE OSUNA;ALAMEDA DE OSUNA;16
PASEO;DE LA;ALAMEDA DE OSUNA;ALAMEDA DE OSUNA;21
CALLE;DE;ALAMEDA DEL VALLE;ALAMEDA DEL VALLE;18
CALLE;DE;ALAMEDA DEL VALLE;ALAMEDA DEL VALLE;18
CALLE;DE;ALAMEDILLA;ALAMEDILLA;2
PASEO;DE LAS;ALAMEDILLAS;ALAMEDILLAS;8
CALLE;DEL;ALAMILLO;ALAMILLO;1
PLAZA;DEL;ALAMILLO;ALAMILLO;1
CALLE;DEL;ALAMO;ÁLAMO;1
PUENTE;DEL;ALAMO NEGRO;ÁLAMO NEGRO;9
PUENTE;DEL;ALAMO NEGRO;ÁLAMO NEGRO;9
CALLE;DE;ALAN TURING;ALAN TURING;13
CALLE;DE;ALANIS;ALANIS;21
CALLE;DE;ALAR DEL REY;ALAR DEL REY;21
CALLE;DE;ALARICO;ALARICO;11
CALLE;DE;ALARO;ALARÓ;21
TRAVESÍA;DE;ALARO;ALARÓ;21
CALLE;DE LAS;ALAS;ALAS;21
CALLE;DEL;ALATERNO;ALATERNO;5
CALLE;DE;ALAVA;ÁLAVA;15
CALLE;DEL;ALBA;ALBA;16
CALLE;DE;ALBA DE TORMES;ALBA DE TORMES;11
CALLE;DE;ALBACETE;ALBACETE;15
CALLE;DE;ALBADALEJO;ALBADALEJO;20
CALLE;DE LA;ALBAHACA;ALBAHACA;16
CALLE;DE;ALBAICIN;ALBAICÍN;12
CALLE;DE;ALBAIDA;ALBAIDA;20
CALLE;DE;ALBALA;ALBALÁ;20
CALLE;DE;ALBALATE DEL ARZOBISPO;ALBALATE DEL ARZOBISPO;13
CALLE;DE;ALBANIA;ALBANIA;20
CALLE;DE LA;ALBAÑILERIA;ALBAÑILERÍA;20
CALLE;DEL;ALBARDIN;ALBARDÍN;12
CALLE;DE;ALBARES DE LA RIBERA;ALBARES DE LA RIBERA;11
CALLE;DEL;ALBARICOQUE;ALBARICOQUE;11
CALLE;DE;ALBARRACIN;ALBARRACÍN;20
CALLE;DE;ALBASANZ;ALBASANZ;20
CALLE;DE;ALBATANA;ALBATANA;16
CALLE;DEL;ALBATROS;ALBATROS;11
CALLE;DE;ALBELDA;ALBELDA;15
CALLE;DE;ALBENDIEGO;ALBENDIEGO;6
CALLE;DE;ALBENIZ;ALBÉNIZ;10
CALLE;DE;ALBENTOSA;ALBENTOSA;11
CALLE;DE;ALBENTOSA;ALBENTOSA;11
CALLE;DEL;ALBERCHE;ALBERCHE;2
CALLE;DEL;ALBERCHE;ALBERCHE;3
PASAJE;DEL;ALBERCHE;ALBERCHE;3
CALLE;DE;ALBERDI;ALBERDI;6
CARRETERA;DEL;ALBERGUE JUVENIL;ALBERGUE JUVENIL;9
CALLE;DE;ALBERIQUE;ALBERIQUE;20
CALLE;DE;ALBERIQUE;ALBERIQUE;20
CALLE;DE;ALBERT CAMUS;ALBERT CAMUS;11
CALLE;DE;ALBERTO AGUILERA;ALBERTO AGUILERA;1
CALLE;DE;ALBERTO AGUILERA;ALBERTO AGUILERA;7
CALLE;DE;ALBERTO AGUILERA;ALBERTO AGUILERA;7
AVENIDA;DE;ALBERTO ALCOCER;ALBERTO ALCOCER;5
AVENIDA;DE;ALBERTO ALCOCER;ALBERTO ALCOCER;5
CALLE;DE;ALBERTO BOSCH;ALBERTO BOSCH;3
CALLE;DE;ALBERTO DE PALACIO;ALBERTO DE PALACIO;16
CALLE;DE;ALBERTO INSUA;ALBERTO INSÚA;8
CALLE;DE;ALBERTO LEON PERALTA;ALBERTO LEÓN PERALTA;5
CALLE;DE;ALBERTO MARCOS;ALBERTO MARCOS;18
CALLE;DE;ALBERTO MARTIN ARTAJO;ALBERTO MARTÍN ARTAJO;4
CALLE;DE;ALBERTO PALACIOS;ALBERTO PALACIOS;17
PASEO;DE;ALBERTO PALACIOS;ALBERTO PALACIOS;17
CALLE;DE;ALBERTO SANCHEZ;ALBERTO SÁNCHEZ;19
CALLE;DE;ALBINO HERNANDEZ LAZARO;ALBINO HERNÁNDEZ LÁZARO;17
CALLE;DE;ALBOREA;ALBOREA;11
CALLE;DE;ALBOX;ALBOX;11
AVENIDA;DE LA;ALBUFERA;ALBUFERA;13
AVENIDA;DE LA;ALBUFERA;ALBUFERA;13
AVENIDA;DE LA;ALBUFERA;ALBUFERA;13
AVENIDA;DE LA;ALBUFERA;ALBUFERA;13
AVENIDA;DE LA;ALBUFERA;ALBUFERA;13
CALLE;DE;ALBUÑUELAS;ALBUÑUELAS;12
CALLE;DE;ALBURQUERQUE;ALBURQUERQUE;7
CALLE;DE;ALCACER TEJARES;ALCÁCER TEJARES;19
CALLE;DE;ALCALA;ALCALÁ;1
CALLE;DE;ALCALA;ALCALÁ;1
CALLE;DE;ALCALA;ALCALÁ;1
CALLE;DE;ALCALA;ALCALÁ;3
CALLE;DE;ALCALA;ALCALÁ;4
