ï»¿CODIGO;TUNEL;EPOCA;TIPO_DIA;HORA;SECCION_ACCESO;INTENSIDAD;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;__fuente
TC0815;4 TORRES;GENERAL;FESTIVO;7;ENTRADA ARZOBISPO MORCILLO;7;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;8;ENTRADA ARZOBISPO MORCILLO;7;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;9;ENTRADA ARZOBISPO MORCILLO;18;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;10;ENTRADA ARZOBISPO MORCILLO;11;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;11;ENTRADA ARZOBISPO MORCILLO;19;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;12;ENTRADA ARZOBISPO MORCILLO;16;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;13;ENTRADA ARZOBISPO MORCILLO;18;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;14;ENTRADA ARZOBISPO MORCILLO;27;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;15;ENTRADA ARZOBISPO MORCILLO;14;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;16;ENTRADA ARZOBISPO MORCILLO;10;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;17;ENTRADA ARZOBISPO MORCILLO;13;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;18;ENTRADA ARZOBISPO MORCILLO;23;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;19;ENTRADA ARZOBISPO MORCILLO;11;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;20;ENTRADA ARZOBISPO MORCILLO;14;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;21;ENTRADA ARZOBISPO MORCILLO;6;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;22;ENTRADA ARZOBISPO MORCILLO;3;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
TC0815;4 TORRES;GENERAL;FESTIVO;23;ENTRADA ARZOBISPO MORCILLO;2;NA;NA;NA;NA;NA;https://datos.madrid.es:443/egobfiles/MANUAL/300749/20250325_DATOS_P%20MEDIDA.csv
