id_sensor;intensidad;dia;mes;año
5690.0;260.0;26;2;2026
5691.0;0.0;26;2;2026
5692.0;820.0;26;2;2026
5693.0;600.0;26;2;2026
5694.0;240.0;26;2;2026
7094.0;460.0;26;2;2026
5657.0;20.0;26;2;2026
7112.0;840.0;26;2;2026
3424.0;720.0;26;2;2026
3425.0;820.0;26;2;2026
3426.0;980.0;26;2;2026
3427.0;820.0;26;2;2026
5695.0;940.0;26;2;2026
3583.0;940.0;26;2;2026
3584.0;1100.0;26;2;2026
5696.0;900.0;26;2;2026
5697.0;900.0;26;2;2026
5698.0;960.0;26;2;2026
5699.0;999.0;26;2;2026
5700.0;940.0;26;2;2026
5701.0;820.0;26;2;2026
5702.0;1020.0;26;2;2026
5703.0;800.0;26;2;2026
5705.0;180.0;26;2;2026
5706.0;120.0;26;2;2026
5707.0;100.0;26;2;2026
5708.0;120.0;26;2;2026
5709.0;0.0;26;2;2026
5710.0;580.0;26;2;2026
5711.0;1240.0;26;2;2026
5712.0;940.0;26;2;2026
5713.0;1600.0;26;2;2026
5714.0;2040.0;26;2;2026
5715.0;840.0;26;2;2026
5716.0;2040.0;26;2;2026
5717.0;2020.0;26;2;2026
5718.0;880.0;26;2;2026
5719.0;820.0;26;2;2026
5720.0;220.0;26;2;2026
5721.0;340.0;26;2;2026
5722.0;280.0;26;2;2026
5723.0;220.0;26;2;2026
5724.0;999.0;26;2;2026
5725.0;960.0;26;2;2026
5726.0;60.0;26;2;2026
5727.0;60.0;26;2;2026
5728.0;60.0;26;2;2026
5729.0;700.0;26;2;2026
5730.0;560.0;26;2;2026
5731.0;360.0;26;2;2026
5732.0;300.0;26;2;2026
5733.0;220.0;26;2;2026
5734.0;180.0;26;2;2026
5735.0;0.0;26;2;2026
5736.0;320.0;26;2;2026
5737.0;200.0;26;2;2026
5738.0;0.0;26;2;2026
5739.0;700.0;26;2;2026
5740.0;1100.0;26;2;2026
5741.0;480.0;26;2;2026
7115.0;432.0;26;2;2026
3454.0;220.0;26;2;2026
3455.0;640.0;26;2;2026
3456.0;120.0;26;2;2026
5742.0;0.0;26;2;2026
7018.0;2640.0;26;2;2026
7069.0;480.0;26;2;2026
7021.0;2780.0;26;2;2026
3511.0;1640.0;26;2;2026
7020.0;200.0;26;2;2026
7140.0;1420.0;26;2;2026
5761.0;2620.0;26;2;2026
5762.0;2520.0;26;2;2026
5763.0;340.0;26;2;2026
5764.0;300.0;26;2;2026
5765.0;100.0;26;2;2026
5766.0;200.0;26;2;2026
5767.0;1440.0;26;2;2026
5768.0;340.0;26;2;2026
5769.0;499.0;26;2;2026
5770.0;499.0;26;2;2026
5771.0;0.0;26;2;2026
4472.0;999.0;26;2;2026
3513.0;1380.0;26;2;2026
5772.0;999.0;26;2;2026
5773.0;760.0;26;2;2026
3498.0;1380.0;26;2;2026
5774.0;580.0;26;2;2026
5775.0;720.0;26;2;2026
5776.0;0.0;26;2;2026
5777.0;780.0;26;2;2026
3411.0;900.0;26;2;2026
3439.0;820.0;26;2;2026
5778.0;380.0;26;2;2026
5779.0;140.0;26;2;2026
5780.0;120.0;26;2;2026
3499.0;100.0;26;2;2026
3500.0;80.0;26;2;2026
7057.0;940.0;26;2;2026
3522.0;740.0;26;2;2026
4136.0;1060.0;26;2;2026
4141.0;420.0;26;2;2026
4139.0;720.0;26;2;2026
4134.0;140.0;26;2;2026
4135.0;920.0;26;2;2026
3436.0;740.0;26;2;2026
4140.0;200.0;26;2;2026
4483.0;600.0;26;2;2026
3471.0;360.0;26;2;2026
4485.0;120.0;26;2;2026
4486.0;800.0;26;2;2026
4487.0;1200.0;26;2;2026
4488.0;420.0;26;2;2026
4702.0;420.0;26;2;2026
3505.0;320.0;26;2;2026
3506.0;280.0;26;2;2026
3507.0;1420.0;26;2;2026
4703.0;1460.0;26;2;2026
3515.0;499.0;26;2;2026
3516.0;600.0;26;2;2026
4704.0;820.0;26;2;2026
4706.0;220.0;26;2;2026
4132.0;620.0;26;2;2026
4133.0;400.0;26;2;2026
9959.0;120.0;26;2;2026
4130.0;160.0;26;2;2026
4154.0;580.0;26;2;2026
7002.0;700.0;26;2;2026
4153.0;580.0;26;2;2026
7003.0;940.0;26;2;2026
7004.0;600.0;26;2;2026
4129.0;499.0;26;2;2026
4126.0;480.0;26;2;2026
4050.0;520.0;26;2;2026
4049.0;540.0;26;2;2026
4056.0;720.0;26;2;2026
4051.0;1060.0;26;2;2026
4059.0;1400.0;26;2;2026
7076.0;1380.0;26;2;2026
7023.0;160.0;26;2;2026
7074.0;860.0;26;2;2026
7072.0;120.0;26;2;2026
10852.0;20.0;26;2;2026
5782.0;80.0;26;2;2026
