idelem;lon;lat;district_code;district_name
10238;-3.602325;40.433518;NA;NA
10239;-3.600864;40.433998;NA;NA
10240;-3.599300;40.433401;NA;NA
10241;-3.599527;40.432274;NA;NA
10242;-3.600430;40.432699;NA;NA
10243;-3.604175;40.437161;NA;NA
10244;-3.603043;40.438741;NA;NA
10245;-3.603175;40.438505;NA;NA
10246;-3.602160;40.437829;NA;NA
10247;-3.625206;40.447694;NA;NA
10248;-3.624195;40.447770;NA;NA
10249;-3.621571;40.447850;NA;NA
10250;-3.719836;40.385218;NA;NA
10251;-3.724590;40.387123;NA;NA
10253;-3.730171;40.387595;NA;NA
10254;-3.730625;40.388265;NA;NA
10256;-3.721556;40.386477;NA;NA
10257;-3.721466;40.386896;NA;NA
10258;-3.706660;40.426712;NA;NA
10259;-3.706555;40.426988;NA;NA
10260;-3.600007;40.432554;NA;NA
10261;-3.702764;40.391109;NA;NA
10262;-3.703403;40.391565;NA;NA
10264;-3.661908;40.445522;NA;NA
10265;-3.660785;40.444278;NA;NA
10266;-3.660423;40.434783;NA;NA
10267;-3.657913;40.416982;NA;NA
10268;-3.682701;40.383707;NA;NA
10269;-3.697268;40.484683;NA;NA
10271;-3.720776;40.429194;NA;NA
10272;-3.696562;40.385721;NA;NA
10273;-3.748499;40.384960;NA;NA
10274;-3.750257;40.385611;NA;NA
10275;-3.748530;40.385991;NA;NA
10276;-3.725881;40.478898;NA;NA
10277;-3.727480;40.478312;NA;NA
10278;-3.725055;40.479328;NA;NA
10279;-3.724132;40.479719;NA;NA
10280;-3.717279;40.482080;NA;NA
10281;-3.712970;40.483363;NA;NA
10282;-3.736671;40.385377;NA;NA
10283;-3.724833;40.404931;NA;NA
10284;-3.694788;40.370824;NA;NA
10285;-3.694667;40.370722;NA;NA
10286;-3.695027;40.356493;NA;NA
10287;-3.696454;40.356439;NA;NA
10288;-3.696350;40.356405;NA;NA
10289;-3.697091;40.356615;NA;NA
10290;-3.692605;40.375413;NA;NA
10291;-3.691147;40.491165;NA;NA
10292;-3.692056;40.490629;NA;NA
10293;-3.692244;40.490478;NA;NA
10294;-3.693443;40.490562;NA;NA
10295;-3.709291;40.485729;NA;NA
10296;-3.710114;40.485180;NA;NA
10297;-3.665377;40.460192;NA;NA
10298;-3.664836;40.462782;NA;NA
10299;-3.654884;40.421062;NA;NA
10300;-3.655099;40.421517;NA;NA
10301;-3.655873;40.422269;NA;NA
10302;-3.655880;40.422800;NA;NA
10303;-3.654815;40.423543;NA;NA
10304;-3.653560;40.424456;NA;NA
10305;-3.654107;40.424181;NA;NA
10306;-3.652427;40.425289;NA;NA
10307;-3.647676;40.426521;NA;NA
10308;-3.650865;40.426552;NA;NA
10309;-3.724542;40.492488;NA;NA
10310;-3.725465;40.492347;NA;NA
10311;-3.725649;40.492090;NA;NA
10312;-3.724846;40.491409;NA;NA
10313;-3.726042;40.491832;NA;NA
10314;-3.726719;40.491234;NA;NA
10315;-3.727813;40.490753;NA;NA
10316;-3.728296;40.491655;NA;NA
10317;-3.727278;40.493533;NA;NA
10318;-3.726418;40.493702;NA;NA
10319;-3.725759;40.493355;NA;NA
10320;-3.726220;40.494395;NA;NA
10321;-3.726162;40.494237;NA;NA
10322;-3.725065;40.494573;NA;NA
10323;-3.725850;40.494811;NA;NA
10324;-3.724987;40.495583;NA;NA
10325;-3.724372;40.495996;NA;NA
10326;-3.722455;40.495956;NA;NA
10327;-3.722825;40.497293;NA;NA
10328;-3.720913;40.494953;NA;NA
10329;-3.723180;40.494410;NA;NA
10330;-3.724047;40.493625;NA;NA
10331;-3.724498;40.493127;NA;NA
10332;-3.717624;40.384595;NA;NA
10333;-3.690654;40.509744;NA;NA
10334;-3.692021;40.509671;NA;NA
10335;-3.691957;40.509641;NA;NA
10336;-3.692134;40.511213;NA;NA
10337;-3.693236;40.510983;NA;NA
10338;-3.717931;40.427641;NA;NA
10340;-3.624592;40.433551;NA;NA
10341;-3.623825;40.433859;NA;NA
10342;-3.626558;40.432541;NA;NA
10343;-3.626924;40.432434;NA;NA
10344;-3.628522;40.431649;NA;NA
10345;-3.630734;40.430711;NA;NA
10346;-3.649254;40.463722;NA;NA
10347;-3.654406;40.463458;NA;NA
10348;-3.632876;40.433583;NA;NA
10349;-3.642135;40.396121;NA;NA
10350;-3.640759;40.396970;NA;NA
10351;-3.640183;40.396091;NA;NA
10352;-3.638638;40.397325;NA;NA
10353;-3.640640;40.395377;NA;NA
10354;-3.643449;40.394368;NA;NA
10355;-3.641522;40.392457;NA;NA
10356;-3.641584;40.391995;NA;NA
10357;-3.642428;40.390878;NA;NA
10358;-3.745822;40.388034;NA;NA
10359;-3.666936;40.511829;NA;NA
10360;-3.672999;40.510772;NA;NA
10361;-3.672468;40.510995;NA;NA
10363;-3.701407;40.503274;NA;NA
10364;-3.700556;40.503735;NA;NA
10365;-3.700447;40.502739;NA;NA
10366;-3.704794;40.502821;NA;NA
10367;-3.703799;40.502314;NA;NA
10368;-3.703690;40.502278;NA;NA
10369;-3.704845;40.501860;NA;NA
